,id,title,vote_average,year,month,genre_ids,budget,revenue,runtime,director_id
121,624,Easy Rider,7.076,1969,6,"[12, 18]",400000.0,60000000.0,95,2778
122,15383,Army of Shadows,8.0,1969,9,"[10752, 18, 36]",3600000.0,741766.0,145,3831
123,11485,Take the Money and Run,7.118,1969,8,"[35, 80]",1500000.0,44785053.0,85,1243
124,10112,The Aristocats,7.3,1970,12,"[16, 35, 10751, 12]",4000000.0,191000000.0,78,57314
125,1685,Beneath the Planet of the Apes,6.193,1970,4,"[12, 878, 9648]",3000000.0,18999718.0,95,18635
126,11916,Two Mules for Sister Sara,6.9,1970,3,[37],2500000.0,5050000.0,114,14773
127,9394,They Call Me Trinity,7.6,1970,12,"[28, 35, 37]",3250000.0,34354776.0,115,56033
128,11202,Patton,7.507,1970,1,"[10752, 18, 36]",12000000.0,89800000.0,172,13265
129,11589,Kelly's Heroes,7.365,1970,6,"[12, 35, 10752]",4000000.0,5200000.0,144,54451
130,9062,Love Story,6.787,1970,12,"[10749, 18]",2200000.0,136400000.0,99,133259
131,11165,Tora! Tora! Tora!,7.163,1970,1,"[18, 36, 10752]",25485000.0,37150000.0,144,2087
132,8416,The Conformist,7.68,1970,7,[18],750000.0,233493.0,108,4956
133,11040,Little Big Man,7.5,1970,12,"[12, 37, 35, 18]",15000000.0,31559552.0,139,6448
134,651,M*A*S*H,6.977,1970,2,"[35, 18, 10752]",3500000.0,81600000.0,116,9789
135,26451,Investigation of a Citizen Above Suspicion,8.197,1970,10,"[18, 53]",3250000.0,34354776.0,111,95456
136,20345,The Bird with the Crystal Plumage,7.195,1970,2,"[27, 9648, 53]",500000.0,34354776.0,96,4955
137,11657,Le Cercle Rouge,7.6,1970,10,"[53, 80, 18]",3250000.0,34354776.0,140,3831
138,13041,El Topo,7.1,1970,12,"[28, 12, 18, 37]",400000.0,34354776.0,125,55119
139,252,Willy Wonka & the Chocolate Factory,7.498,1971,6,"[10751, 14, 35]",3000000.0,4000000.0,99,3451
140,185,A Clockwork Orange,8.208,1971,12,"[878, 80]",2200000.0,26589000.0,137,240
141,681,Diamonds Are Forever,6.396,1971,12,"[28, 53]",7200000.0,116019547.0,120,9915
142,984,Dirty Harry,7.46,1971,12,"[28, 80, 53]",4000000.0,35976000.0,102,14773
143,1687,Escape from the Planet of the Apes,6.323,1971,5,"[28, 878]",2500000.0,12400000.0,98,9108
144,839,Duel,7.43,1971,11,"[28, 53, 10770]",450000.0,12400000.0,89,488
145,14811,Fiddler on the Roof,7.692,1971,11,"[18, 10749]",9000000.0,83304330.0,181,13563
146,12481,The Big Boss,7.124,1971,10,[28],100000.0,12400000.0,99,70334
147,11302,Bananas,6.7,1971,4,[35],2000000.0,11833696.0,82,1243
148,12335,Bedknobs and Broomsticks,7.046,1971,10,"[12, 14, 35, 10751, 10402, 16]",20000000.0,17900000.0,117,5834
149,336,"Duck, You Sucker",7.711,1971,10,[37],2200000.0,12400000.0,157,4385
150,25188,The Last Picture Show,7.638,1971,10,[18],1300000.0,29133000.0,119,39012
151,11234,The Omega Man,6.167,1971,8,"[878, 28]",2200000.0,8720000.0,98,68682
152,1051,The French Connection,7.538,1971,10,"[28, 80, 53]",1800000.0,41200000.0,104,15175
153,10514,The Andromeda Strain,7.065,1971,3,"[878, 53]",6500000.0,12376563.0,131,1744
154,994,Straw Dogs,7.15,1971,11,"[18, 53]",2200000.0,3251794.0,116,7767
155,343,Harold and Maude,7.6,1971,12,"[35, 18, 10749]",1200000.0,12400000.0,91,4964
156,636,THX 1138,6.5,1971,3,"[878, 28, 18]",777000.0,2437000.0,86,1
157,11829,Trinity Is Still My Name,7.4,1971,10,"[35, 37]",2200000.0,2100000.0,117,56033
158,14257,Delusions of Grandeur,7.437,1971,12,"[35, 36]",2200000.0,12400000.0,108,11195
159,238,The Godfather,8.695,1972,3,"[18, 80]",6000000.0,245066411.0,175,1776
160,9462,The Way of the Dragon,7.379,1972,6,"[28, 80]",130000.0,27000000.0,100,19429
161,11713,Fist of Fury,7.263,1972,3,"[18, 28, 53]",100000.0,36182181.0,108,70334
162,1643,Last Tango in Paris,6.984,1972,10,"[18, 10749]",1250000.0,36182181.0,129,4956
163,10669,Deliverance,7.318,1972,8,"[18, 12, 53]",2000000.0,46122355.0,109,19665
164,11943,Jeremiah Johnson,7.294,1972,9,"[12, 37]",3100000.0,44700000.0,108,2226
165,15516,The Last House on the Left,5.965,1972,8,"[27, 53]",90000.0,36182181.0,84,5140
166,5916,The Getaway,7.078,1972,9,"[28, 80, 53]",3352254.0,36734619.0,123,7767
167,551,The Poseidon Adventure,7.094,1972,12,"[12, 53, 28]",5000000.0,84563118.0,117,7501
168,1688,Conquest of the Planet of the Apes,6.16,1972,6,"[28, 878]",1700000.0,9700000.0,88,18669
169,593,Solaris,7.837,1972,3,"[18, 878, 9648]",1850000.0,36182181.0,167,8452
170,10238,Cries and Whispers,7.941,1972,12,[18],400000.0,36182181.0,95,6648
171,811,Silent Running,6.415,1972,3,"[12, 878]",1000000.0,36182181.0,89,12112
172,11624,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,6.535,1972,8,[35],2000000.0,18016290.0,88,1243
173,573,Frenzy,7.106,1972,5,"[80, 53, 27]",3500000.0,12600000.0,116,2636
174,4593,The Discreet Charm of the Bourgeoisie,7.521,1972,9,[35],800000.0,36182181.0,101,793
175,2000,"Aguirre, the Wrath of God",7.51,1972,12,"[12, 36, 28]",370000.0,37041.0,95,6818
176,10784,Cabaret,7.4,1972,2,"[10402, 18, 10749]",4600000.0,42800000.0,124,66777
177,993,Sleuth,7.7,1972,12,"[53, 9648, 80, 35]",3500000.0,5750000.0,138,10601
178,11610,"Play It Again, Sam",7.465,1972,5,"[35, 10749]",1850000.0,36182181.0,85,18378
179,9552,The Exorcist,7.723,1973,12,"[27, 53, 18]",12000000.0,441400000.0,122,15175
