id,title,vote_average,vote_count,release_date,year,month,genre_ids,original_language,popularity
1643,Last Tango in Paris,6.984,1146,1972-10-14,1972,10,"[18, 10749]",it,29.208
10669,Deliverance,7.318,1475,1972-08-18,1972,08,"[18, 12, 53]",en,26.688
11943,Jeremiah Johnson,7.294,563,1972-09-10,1972,09,"[12, 37]",en,25.857
15516,The Last House on the Left,5.965,635,1972-08-30,1972,08,"[27, 53]",en,25.09
5916,The Getaway,7.078,516,1972-09-20,1972,09,"[28, 80, 53]",en,23.237
551,The Poseidon Adventure,7.094,827,1972-12-13,1972,12,"[12, 53, 28]",en,21.787
1688,Conquest of the Planet of the Apes,6.16,856,1972-06-29,1972,06,"[28, 878]",en,21.281
593,Solaris,7.837,1485,1972-03-20,1972,03,"[18, 878, 9648]",ru,21.138
10238,Cries and Whispers,7.941,639,1972-12-21,1972,12,[18],sv,21.081
811,Silent Running,6.415,529,1972-03-09,1972,03,"[12, 878]",en,20.184
11624,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,6.535,866,1972-08-06,1972,08,[35],en,18.994
573,Frenzy,7.106,836,1972-05-25,1972,05,"[80, 53, 27]",en,16.798
4593,The Discreet Charm of the Bourgeoisie,7.521,734,1972-09-15,1972,09,[35],fr,16.466
2000,"Aguirre, the Wrath of God",7.51,1012,1972-12-29,1972,12,"[12, 36, 28]",de,15.29
10784,Cabaret,7.4,827,1972-02-13,1972,02,"[10402, 18, 10749]",en,13.499
993,Sleuth,7.7,570,1972-12-10,1972,12,"[53, 9648, 80, 35]",en,12.652
11610,"Play It Again, Sam",7.465,532,1972-05-04,1972,05,"[35, 10749]",en,11.284
9552,The Exorcist,7.723,7590,1973-12-26,1973,12,"[27, 53, 18]",en,75.131
10648,Magnum Force,7.1,982,1973-12-13,1973,12,"[18, 80, 28]",en,53.336
1705,Battle for the Planet of the Apes,5.729,835,1973-06-15,1973,06,"[28, 878]",en,36.578
203,Mean Streets,7.1,1954,1973-10-14,1973,10,"[18, 80]",en,35.788
9277,The Sting,8.019,2443,1973-12-25,1973,12,"[35, 80, 18]",en,34.54
11886,Robin Hood,7.3,4148,1973-11-08,1973,11,"[16, 10751]",en,33.937
11901,High Plains Drifter,7.4,1059,1973-04-19,1973,04,"[37, 18, 9648]",en,32.523
9461,Enter the Dragon,7.429,1764,1973-08-17,1973,08,[28],en,31.192
838,American Graffiti,7.033,1330,1973-08-11,1973,08,"[35, 18]",en,29.998
253,Live and Let Die,6.495,1911,1973-06-27,1973,06,"[12, 28, 53]",en,29.738
11293,Paper Moon,7.9,658,1973-05-09,1973,05,"[35, 80, 18]",en,26.538
7857,Amarcord,7.911,1047,1973-12-18,1973,12,"[35, 18]",it,25.033
5924,Papillon,7.8,1789,1973-12-13,1973,12,"[80, 18]",en,24.868
16307,The Wicker Man,7.373,1280,1973-12-06,1973,12,[27],en,24.317
12101,Soylent Green,6.952,1177,1973-04-18,1973,04,"[878, 53]",en,23.264
9040,Serpico,7.539,1794,1973-12-18,1973,12,"[80, 18, 36]",en,22.624
2362,Westworld,6.77,1206,1973-08-15,1973,08,"[12, 878, 37]",en,22.162
4909,The Day of the Jackal,7.495,507,1973-05-15,1973,05,"[28, 53]",en,21.967
12545,Jesus Christ Superstar,7.042,522,1973-08-15,1973,08,"[10402, 18]",en,19.889
9474,My Name Is Nobody,7.3,874,1973-12-13,1973,12,"[35, 37]",it,19.063
931,Don't Look Now,6.9,954,1973-01-18,1973,01,"[53, 18, 27]",en,18.895
8327,The Holy Mountain,7.591,843,1973-11-29,1973,11,[18],es,16.168
16306,Fantastic Planet,7.665,881,1973-12-01,1973,12,"[16, 878]",fr,15.948
760,The Mad Adventures of Rabbi Jacob,7.396,926,1973-10-17,1973,10,[35],fr,15.85
1847,The Long Goodbye,7.439,573,1973-03-08,1973,03,"[80, 35, 18]",en,14.629
1675,Day for Night,7.8,564,1973-05-24,1973,05,"[35, 18]",fr,14.229
11561,Sleeper,6.921,728,1973-12-17,1973,12,"[35, 878]",en,14.035
240,The Godfather Part II,8.576,11798,1974-12-20,1974,12,"[18, 80]",en,100.956
30497,The Texas Chain Saw Massacre,7.291,3040,1974-10-01,1974,10,[27],en,36.401
829,Chinatown,7.918,3573,1974-06-20,1974,06,"[80, 18, 9648, 53]",en,34.319
682,The Man with the Golden Gun,6.447,1908,1974-12-01,1974,12,"[12, 28, 53]",en,34.006
11072,Blazing Saddles,7.26,1746,1974-02-07,1974,02,"[37, 35]",en,31.33
24402,Emmanuelle,5.972,727,1974-06-25,1974,06,"[18, 10749]",fr,29.974
13939,Death Wish,6.9,772,1974-07-24,1974,07,"[80, 18, 28]",en,24.55
592,The Conversation,7.526,1582,1974-04-07,1974,04,"[80, 18, 9648]",en,23.309
3034,Young Frankenstein,7.888,2991,1974-12-15,1974,12,[35],en,23.138
4176,Murder on the Orient Express,7.154,1324,1974-11-22,1974,11,"[18, 53, 9648]",en,23.079
5919,The Towering Inferno,7.021,860,1974-12-14,1974,12,"[28, 18, 53]",en,20.084
6916,"Watch Out, We're Mad",7.428,760,1974-03-29,1974,03,"[28, 35]",it,19.056
27327,Phantom of the Paradise,7.5,608,1974-10-31,1974,10,"[10402, 35, 27]",en,15.632
3133,Badlands,7.5,1098,1974-01-05,1974,01,"[80, 18, 10749]",en,14.558
16938,Black Christmas,6.927,730,1974-10-11,1974,10,"[27, 9648, 53]",en,13.403
42269,We All Loved Each Other So Much,8.237,503,1974-12-21,1974,12,"[18, 35]",it,13.023
1410,Dark Star,6.0,516,1974-04-01,1974,04,"[35, 878]",en,8.942
578,Jaws,7.661,9871,1975-06-20,1975,06,"[27, 53, 12]",en,51.786
510,One Flew Over the Cuckoo's Nest,8.421,9964,1975-11-19,1975,11,[18],en,46.29
11963,Three Days of the Condor,7.306,1072,1975-08-01,1975,08,"[53, 9648]",en,26.738
3175,Barry Lyndon,8.003,2643,1975-12-18,1975,12,"[18, 10749, 10752]",en,25.548
36685,The Rocky Horror Picture Show,7.466,2657,1975-08-14,1975,08,"[35, 878, 14, 27]",en,24.659
762,Monty Python and the Holy Grail,7.803,5463,1975-03-14,1975,03,"[12, 35, 14]",en,22.595
11843,The Return of the Pink Panther,6.794,560,1975-05-21,1975,05,"[35, 80, 9648]",en,22.354
1396,Mirror,7.975,875,1975-03-07,1975,03,"[18, 36]",ru,21.973
968,Dog Day Afternoon,7.8,2785,1975-09-21,1975,09,"[80, 18, 53]",en,19.688
20126,Deep Red,7.776,1368,1975-03-07,1975,03,"[27, 9648, 53]",it,17.479
11686,Love and Death,7.55,814,1975-06-10,1975,06,"[35, 10752]",en,15.78
