,id,title,vote_average,year,month,genre_ids,budget,revenue,runtime,director_id,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,Thriller,War,Western
51,266,Contempt,7.065,1963,10,"[18, 10749]",900000.0,528428.0,103,3776,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
52,658,Goldfinger,7.35,1964,9,"[12, 28, 53]",2500000.0,124881062.0,110,9915,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,391,A Fistful of Dollars,7.843,1964,9,[37],200000.0,14500000.0,99,4385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.1,1964,1,"[35, 10752]",1800000.0,9500000.0,95,240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,433,Mary Poppins,7.576,1964,12,"[35, 10751, 14]",4650000.0,103100000.0,139,5834,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
56,5967,The Umbrellas of Cherbourg,7.4,1964,2,"[18, 10749]",7.0,,93,24882,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
57,11113,My Fair Lady,7.523,1964,10,"[10402, 35, 10749, 18]",17000000.0,72661442.0,170,14674,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
58,4727,Le Gendarme de Saint-Tropez,7.1,1964,9,[35],,,89,39138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,704,A Hard Day's Night,7.367,1964,7,"[10402, 35]",560000.0,11000000.0,88,10586,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,506,Marnie,7.16,1964,7,"[53, 9648, 10749, 18]",2135000.0,7000000.0,130,2636,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
61,8073,Band of Outsiders,7.551,1964,8,"[35, 80, 18]",120000.0,182857.0,97,3776,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
62,1871,Fantomas,6.829,1964,11,"[35, 80, 12]",,,104,19639,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,660,Thunderball,6.7,1965,12,"[12, 28, 53]",5500000.0,141195658.0,130,9855,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,938,For a Few Dollars More,8.019,1965,12,[37],600000.0,15000000.0,132,4385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,15121,The Sound of Music,7.7,1965,3,"[18, 10751, 10402, 10749]",8200000.0,286214286.0,174,1744,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
66,907,Doctor Zhivago,7.5,1965,12,"[18, 10749, 10752]",11000000.0,111858363.0,200,12238,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
67,11481,Repulsion,7.437,1965,6,"[18, 53, 27]",300000.0,,105,3556,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
68,2786,Pierrot le Fou,7.431,1965,11,"[18, 10749, 80]",300000.0,,110,3776,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
69,25866,The Sucker,7.367,1965,3,"[35, 80]",678948.0,,111,11195,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,429,"The Good, the Bad and the Ugly",8.465,1966,12,[37],1200000.0,38900000.0,161,4385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,1714,Fahrenheit 451,7.116,1966,9,"[18, 878]",1500000.0,2000000.0,113,1650,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
72,8290,Don't Look Now... We're Being Shot At!,7.9,1966,12,"[35, 10752]",,,132,11195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
73,797,Persona,8.2,1966,10,[18],,,83,6648,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,1052,Blow-Up,7.4,1966,12,"[18, 9648, 53]",1800000.0,,111,15189,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
75,10772,Django,7.219,1966,4,"[28, 37]",,17277.0,93,49450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
